0
yolov3-bdd100k
Total BFLOPS 65.864 

 seen 64 
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
 If error occurs - run training with flag: -dont_show 
Resizing
512 x 512 
 try to allocate workspace = 18874369 * sizeof(float),  CUDA allocate done! 
Loaded: 0.000027 seconds
Region 106 Avg IOU: 0.008141, Class: 0.157328, Obj: 0.474729, No Obj: 0.580260, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 82 Avg IOU: 0.006657, Class: 0.701174, Obj: 0.327078, No Obj: 0.413532, .5R: 0.000000, .75R: 0.000000,  count: 16
Region 94 Avg IOU: 0.031537, Class: 0.533285, Obj: 0.453201, No Obj: 0.512963, .5R: 0.000000, .75R: 0.000000,  count: 13
Region 106 Avg IOU: 0.036985, Class: 0.430693, Obj: 0.634867, No Obj: 0.582235, .5R: 0.000000, .75R: 0.000000,  count: 26
Region 82 Avg IOU: 0.001936, Class: 0.719746, Obj: 0.265161, No Obj: 0.416031, .5R: 0.000000, .75R: 0.000000,  count: 8
Region 94 Avg IOU: 0.027677, Class: 0.682762, Obj: 0.673138, No Obj: 0.515011, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.584226, .5R: -nan, .75R: -nan,  count: 0

 1: 3188.402100, 3188.402100 avg loss, 0.000000 rate, 15.087969 seconds, 64 images
Loaded: 0.000021 seconds
Region 82 Avg IOU: 0.000485, Class: 0.577021, Obj: 0.509203, No Obj: 0.418372, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 94 Avg IOU: 0.005450, Class: 0.373943, Obj: 0.574467, No Obj: 0.517024, .5R: 0.000000, .75R: 0.000000,  count: 12
Region 106 Avg IOU: 0.016861, Class: 0.246889, Obj: 0.548222, No Obj: 0.586235, .5R: 0.000000, .75R: 0.000000,  count: 24
Region 82 Avg IOU: 0.045013, Class: 0.937077, Obj: 0.340361, No Obj: 0.420293, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 94 Avg IOU: 0.005862, Class: 0.635096, Obj: 0.490524, No Obj: 0.518938, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 106 Avg IOU: 0.006145, Class: 0.627128, Obj: 0.607994, No Obj: 0.588227, .5R: 0.000000, .75R: 0.000000,  count: 15
Region 82 Avg IOU: 0.001280, Class: 0.751190, Obj: 0.544519, No Obj: 0.421644, .5R: 0.000000, .75R: 0.000000,  count: 12
Region 94 Avg IOU: 0.000102, Class: 0.538483, Obj: 0.404126, No Obj: 0.520801, .5R: 0.000000, .75R: 0.000000,  count: 5
