0
yolov3-bdd100k
Total BFLOPS 65.355 

 seen 64 
Learning Rate: 1e-06, Momentum: 0.9, Decay: 0.0005
 If error occurs - run training with flag: -dont_show 
Resizing
288 x 288 
 try to allocate workspace = 5971969 * sizeof(float),  CUDA allocate done! 
Loaded: 1.314476 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.559765, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.323080, Class: 0.515815, Obj: 0.562247, No Obj: 0.558931, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.230698, Class: 0.403656, Obj: 0.420770, No Obj: 0.497969, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 106 Avg IOU: 0.217045, Class: 0.469031, Obj: 0.516956, No Obj: 0.518981, .5R: 0.037037, .75R: 0.000000,  count: 54
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.558950, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.382745, Class: 0.412797, Obj: 0.499382, No Obj: 0.497064, .5R: 0.333333, .75R: 0.000000,  count: 3
Region 106 Avg IOU: 0.203774, Class: 0.521536, Obj: 0.551193, No Obj: 0.519168, .5R: 0.058824, .75R: 0.000000,  count: 85
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.559211, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.307819, Class: 0.560113, Obj: 0.603404, No Obj: 0.496921, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 106 Avg IOU: 0.220375, Class: 0.491995, Obj: 0.529183, No Obj: 0.519599, .5R: 0.023256, .75R: 0.000000,  count: 43
Region 82 Avg IOU: 0.321832, Class: 0.407888, Obj: 0.809128, No Obj: 0.559870, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.347312, Class: 0.478893, Obj: 0.481448, No Obj: 0.497035, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 106 Avg IOU: 0.313075, Class: 0.508235, Obj: 0.492063, No Obj: 0.518912, .5R: 0.140625, .75R: 0.000000,  count: 64
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.560114, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.311960, Class: 0.614874, Obj: 0.548724, No Obj: 0.497322, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 106 Avg IOU: 0.200109, Class: 0.486759, Obj: 0.526889, No Obj: 0.518884, .5R: 0.039216, .75R: 0.000000,  count: 51
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.557695, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.406733, Class: 0.464656, Obj: 0.335724, No Obj: 0.496486, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 106 Avg IOU: 0.264841, Class: 0.492712, Obj: 0.507126, No Obj: 0.519005, .5R: 0.052632, .75R: 0.000000,  count: 57
Region 82 Avg IOU: 0.615146, Class: 0.481731, Obj: 0.539957, No Obj: 0.558497, .5R: 0.500000, .75R: 0.500000,  count: 2
Region 94 Avg IOU: 0.400289, Class: 0.503339, Obj: 0.485759, No Obj: 0.497020, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 106 Avg IOU: 0.180431, Class: 0.481281, Obj: 0.503885, No Obj: 0.519040, .5R: 0.034483, .75R: 0.000000,  count: 58
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.558394, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.275318, Class: 0.493899, Obj: 0.486208, No Obj: 0.497421, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 106 Avg IOU: 0.201020, Class: 0.508530, Obj: 0.495882, No Obj: 0.518086, .5R: 0.052632, .75R: 0.000000,  count: 57
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.559176, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.276321, Class: 0.377296, Obj: 0.595727, No Obj: 0.497125, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 106 Avg IOU: 0.218832, Class: 0.478726, Obj: 0.486435, No Obj: 0.518848, .5R: 0.083333, .75R: 0.016667,  count: 60
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.559602, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.372465, Class: 0.315119, Obj: 0.452886, No Obj: 0.496478, .5R: 0.200000, .75R: 0.000000,  count: 5
Region 106 Avg IOU: 0.263355, Class: 0.491952, Obj: 0.510130, No Obj: 0.519651, .5R: 0.094118, .75R: 0.023529,  count: 85
Region 82 Avg IOU: 0.345762, Class: 0.812298, Obj: 0.476201, No Obj: 0.559215, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.297165, Class: 0.374381, Obj: 0.354074, No Obj: 0.497140, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 106 Avg IOU: 0.197848, Class: 0.498314, Obj: 0.494382, No Obj: 0.518573, .5R: 0.059701, .75R: 0.000000,  count: 67
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.560208, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.502676, Class: 0.510326, Obj: 0.516283, No Obj: 0.497009, .5R: 0.500000, .75R: 0.250000,  count: 4
Region 106 Avg IOU: 0.218781, Class: 0.527072, Obj: 0.529859, No Obj: 0.518459, .5R: 0.022222, .75R: 0.000000,  count: 45
Region 82 Avg IOU: 0.374353, Class: 0.551426, Obj: 0.605183, No Obj: 0.558318, .5R: 0.500000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.372327, Class: 0.497307, Obj: 0.434565, No Obj: 0.496685, .5R: 0.111111, .75R: 0.000000,  count: 9
Region 106 Avg IOU: 0.267337, Class: 0.476923, Obj: 0.512624, No Obj: 0.518865, .5R: 0.072727, .75R: 0.000000,  count: 55
Region 82 Avg IOU: 0.109905, Class: 0.628444, Obj: 0.714755, No Obj: 0.559284, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.421852, Class: 0.606114, Obj: 0.609668, No Obj: 0.496279, .5R: 0.500000, .75R: 0.000000,  count: 6
Region 106 Avg IOU: 0.199711, Class: 0.442579, Obj: 0.528394, No Obj: 0.518781, .5R: 0.053571, .75R: 0.000000,  count: 56
Region 82 Avg IOU: 0.388554, Class: 0.540538, Obj: 0.496684, No Obj: 0.558407, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: 0.479397, Class: 0.487507, Obj: 0.391996, No Obj: 0.496454, .5R: 0.333333, .75R: 0.000000,  count: 3
Region 106 Avg IOU: 0.212056, Class: 0.438756, Obj: 0.503081, No Obj: 0.518651, .5R: 0.067797, .75R: 0.000000,  count: 59
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.560199, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.361075, Class: 0.403588, Obj: 0.476455, No Obj: 0.497408, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 106 Avg IOU: 0.214002, Class: 0.504713, Obj: 0.535056, No Obj: 0.518792, .5R: 0.056338, .75R: 0.000000,  count: 71
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.559947, .5R: -nan, .75R: -nan,  count: 0
